[0809/143137.139:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.139:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.139:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.139:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.140:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\globalUnpack\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.140:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\globalUnpack\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.140:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\globalUnpack\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.140:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\globalUnpack\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.140:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.140:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.140:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.140:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.144:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\@alipay\tiny-cli\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.144:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\@alipay\tiny-cli\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.144:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\@alipay\tiny-cli\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.144:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\@alipay\tiny-cli\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.144:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.145:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.145:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.145:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.145:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\globalUnpack\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.145:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\globalUnpack\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.145:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\globalUnpack\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.146:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\globalUnpack\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.146:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0809/143137.146:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
